iter	Passed	Remaining
0	140	140585
1	141	70665
2	142	47283
3	142	35587
4	143	28564
5	144	23883
6	144	20533
7	145	18019
8	145	16061
9	146	14499
10	147	13218
11	147	12152
12	148	11246
13	148	10471
14	149	9796
15	149	9203
16	150	8684
17	150	8219
18	151	7807
19	151	7436
20	152	7098
21	152	6792
22	153	6510
23	153	6251
24	154	6014
25	154	5797
26	155	5593
27	155	5406
28	156	5230
29	156	5067
30	157	4913
31	157	4770
32	158	4637
33	158	4514
34	159	4400
35	160	4288
36	160	4185
37	161	4085
38	161	3988
39	162	3899
40	163	3812
41	163	3730
42	164	3652
43	164	3575
44	165	3501
45	165	3431
46	165	3364
47	166	3300
48	166	3239
49	167	3180
50	167	3124
51	168	3068
52	168	3016
53	169	2964
54	169	2915
55	170	2867
56	170	2822
57	171	2779
58	171	2738
59	172	2696
60	172	2656
61	172	2617
62	173	2581
63	174	2547
64	174	2513
65	175	2481
66	175	2449
67	176	2419
68	177	2389
69	177	2359
70	178	2329
71	178	2301
72	179	2274
73	179	2249
74	180	2222
75	180	2196
76	181	2171
77	181	2146
78	182	2122
79	182	2098
80	182	2076
81	183	2054
82	183	2029
83	184	2009
84	184	1988
85	185	1967
86	185	1947
87	186	1927
88	186	1909
89	186	1890
90	187	1872
91	187	1854
92	188	1837
93	189	1822
94	189	1806
95	190	1790
96	190	1775
97	191	1760
98	191	1744
99	192	1729
100	192	1715
101	193	1701
102	193	1687
103	194	1673
104	194	1659
105	195	1645
106	195	1632
107	196	1618
108	196	1605
109	196	1593
110	197	1580
111	197	1568
112	198	1557
113	198	1545
114	199	1534
115	199	1523
116	200	1511
117	200	1500
118	201	1489
119	201	1478
120	202	1468
121	202	1456
122	202	1446
123	203	1436
124	203	1427
125	204	1418
126	204	1409
127	205	1400
128	206	1392
129	206	1383
130	207	1375
131	207	1367
132	208	1358
133	208	1350
134	209	1342
135	209	1334
136	210	1325
137	211	1318
138	211	1310
139	211	1302
140	212	1294
141	212	1285
142	213	1278
143	213	1271
144	214	1264
145	214	1256
146	215	1249
147	215	1242
148	216	1235
149	216	1228
150	217	1221
151	217	1215
152	218	1208
153	218	1201
154	219	1196
155	220	1191
156	220	1186
157	221	1180
158	222	1174
159	222	1168
160	223	1162
161	223	1156
162	224	1151
163	224	1145
164	225	1139
165	225	1134
166	226	1128
167	226	1123
168	227	1117
169	227	1111
170	228	1105
171	228	1100
172	229	1095
173	229	1089
174	230	1084
175	230	1078
176	231	1074
177	231	1069
178	231	1063
179	232	1058
180	232	1053
181	233	1048
182	233	1044
183	234	1039
184	235	1035
185	235	1031
186	236	1027
187	237	1023
188	237	1019
189	238	1015
190	238	1011
191	239	1007
192	240	1004
193	240	1000
194	241	996
195	241	991
196	242	987
197	242	983
198	243	979
199	243	975
200	244	971
201	245	967
202	245	964
203	246	960
204	246	956
205	247	952
206	247	948
207	248	944
208	248	940
209	249	937
210	249	933
211	250	930
212	250	926
213	251	923
214	251	919
215	252	916
216	253	913
217	253	910
218	254	906
219	254	903
220	255	900
221	256	897
222	256	894
223	257	890
224	257	887
225	258	883
226	258	880
227	259	877
228	259	873
229	259	870
230	260	867
231	260	863
232	261	860
233	262	857
234	262	854
235	263	851
236	263	848
237	264	845
238	264	842
239	265	840
240	266	837
241	266	835
242	267	832
243	267	829
244	268	827
245	269	825
246	269	822
247	270	819
248	270	816
249	271	814
250	272	811
251	272	809
252	273	806
253	273	803
254	274	800
255	274	798
256	275	796
257	275	793
258	276	790
259	277	788
260	277	785
261	278	783
262	278	780
263	279	778
